Temperature (K),log10(K_p)
100,17.762
200,6.7112
300,2.824
400,0.701
500,-0.496
600,-1.377
700,-2.023
800,-2.513
900,-2.91
1000,-3.22
1100,-3.49
1200,-3.71
1300,-3.897
1400,-4.058
1500,-4.197
1600,-4.319
1700,-4.426
1800,-4.521
1900,-4.605
2000,-4.681
2100,-4.749
2200,-4.81
2300,-4.866
2400,-4.916
2500,-4.963
2600,-5.005
2700,-5.044
2800,-5.079
2900,-5.112
3000,-5.143
3100,-5.171
3200,-5.197
3300,-5.221
3400,-5.244
3500,-5.265
3600,-5.285
3700,-5.304
3800,-5.321
3900,-5.331
4000,-5.353
4100,-5.368
4200,-5.382
4300,-5.393
4400,-5.407
4500,-5.419
4600,-5.43
4700,-5.441
4800,-5.451
4900,-5.461
5000,-5.471
5100,-5.48
5200,-5.488
5300,-5.497
5400,-5.505
5500,-5.512
5600,-5.52
5700,-5.527
5800,-5.534
5900,-5.541
6000,-5.547
